"Date","Price","Open","High","Low","Vol.","Change %"
"02/21/2023","102.09","103.54","103.73","101.83","10.59M","-2.97%"
"02/17/2023","105.22","105.03","105.80","103.88","9.49M","-0.58%"
"02/16/2023","105.83","107.55","108.02","105.70","9.41M","-3.12%"
"02/15/2023","109.24","107.09","109.27","106.70","8.12M","1.47%"
"02/14/2023","107.66","106.82","108.44","105.82","10.77M","0.00%"
"02/13/2023","107.66","108.10","108.29","106.55","12.32M","-0.37%"
"02/10/2023","108.06","108.96","109.74","107.21","15.48M","-2.08%"
"02/09/2023","110.36","118.04","118.18","109.81","45.87M","-1.27%"
"02/08/2023","111.78","112.20","113.33","110.29","18.64M","0.13%"
"02/07/2023","111.63","109.29","112.12","108.86","10.74M","1.60%"
"02/06/2023","109.87","110.17","110.43","108.53","11.86M","-0.76%"
"02/03/2023","110.71","111.47","113.14","110.37","12.47M","-2.21%"
"02/02/2023","113.21","110.67","113.53","109.69","13.02M","3.49%"
"02/01/2023","109.39","108.50","109.94","106.90","9.88M","0.83%"
"01/31/2023","108.49","107.58","108.71","107.45","8.25M","0.84%"
"01/30/2023","107.59","108.26","108.97","107.48","8.52M","-1.78%"
"01/27/2023","109.54","109.26","110.58","109.16","10.25M","-0.15%"
"01/26/2023","109.70","108.17","109.76","107.57","9.17M","1.46%"
"01/25/2023","108.12","104.96","108.16","104.18","9.95M","2.00%"
"01/24/2023","106.00","105.39","108.44","102.00","8.57M","0.29%"
"01/23/2023","105.69","103.29","105.95","102.92","11.25M","2.14%"